switch_step,x_star,N,observed,J,noise,pulse_fraction,lag_steps,seed,pre_m,pre_b,pre_coherence,pre_fragmentation,pre_matched_error,pre_lag_error,pre_wrong_error,transition_m,transition_b,transition_coherence,transition_fragmentation,transition_matched_error,transition_lag_error,transition_wrong_error,post_m,post_b,post_coherence,post_fragmentation,post_matched_error,post_lag_error,post_wrong_error,mismatch_count,mismatch_start,mismatch_end,pre_sector,post_sector,phase,case
1442,1.0,64,16,0.2,0.09,0.45,120,3,0.96649787729405,0.9233259254199769,0.9695652173913043,0.030434782608695653,0.006830299101386018,0.006830299101386018,1.2933338033970583,-0.06342820260732669,-1.4155255163214704,0.125,0.875,0.977872734598576,0.4059922462436087,0.32212726540142395,0.041966536499466515,-1.1701023889933266,0.125,0.875,0.4760669190865448,0.9211628831524497,0.8239330809134553,240,1442,1823,1,-1,fragmented_switch,fragmented_switch
1442,1.0,64,16,0.2,0.09,0.45,120,4,0.9665785247674149,0.923802889455132,0.9695652173913043,0.030434782608695653,0.006843776077517169,0.006843776077517169,1.2932475134581187,-0.0634162487216395,-1.4154053561975135,0.125,0.875,0.9779060147816961,0.405882673017368,0.3220939852183038,0.0420262099133124,-1.1699394015706117,0.125,0.875,0.47607736259196076,0.9210643360176309,0.8239226374080393,240,1442,1823,1,-1,fragmented_switch,fragmented_switch
1442,1.0,64,16,0.2,0.09,0.45,120,5,0.9664453734684775,0.9233830160478275,0.9695652173913043,0.030434782608695653,0.006822207199048664,0.006822207199048664,1.293261317851738,-0.06346875414613942,-1.4155714711224268,0.125,0.875,0.9778607039030673,0.4059381695806664,0.3221392960969326,0.042031451877857874,-1.1700573538544063,0.125,0.875,0.47592217509816814,0.9211704465224825,0.8240778249018319,240,1442,1823,1,-1,fragmented_switch,fragmented_switch
1442,1.0,64,16,0.2,0.09,0.45,120,6,0.966594999906258,0.9237877333266443,0.9695652173913043,0.030434782608695653,0.006871460150064941,0.006871460150064941,1.2932692932419323,-0.06350792157315313,-1.4153674081441383,0.125,0.875,0.9778497736288901,0.4060080955152401,0.32215022637110996,0.041999736819080376,-1.1701622031421552,0.125,0.875,0.47592951166553193,0.9211214808480572,0.824070488334468,240,1442,1823,1,-1,fragmented_switch,fragmented_switch
1442,1.0,64,16,0.2,0.09,0.45,120,7,0.9665003068304518,0.9234565430808326,0.9695652173913043,0.030434782608695653,0.00684634664846661,0.00684634664846661,1.2932905167521604,-0.06342718419580848,-1.415429514500409,0.125,0.875,0.9779821464618712,0.4059530688931732,0.3220178535381288,0.042018594549971616,-1.1699730030073372,0.125,0.875,0.4760013963983609,0.9210447016737926,0.823998603601639,240,1442,1823,1,-1,fragmented_switch,fragmented_switch
1442,1.0,64,16,0.2,0.09,0.45,120,8,0.9664560116701765,0.9232733808973187,0.9695652173913043,0.030434782608695653,0.0068856112289734156,0.0068856112289734156,1.2933103283561151,-0.06350483830517811,-1.415509699820694,0.125,0.875,0.9778313006562979,0.4060355334931571,0.3221686993437022,0.04192446922621564,-1.1700095364384773,0.125,0.875,0.47595877321554997,0.9210350022114789,0.8240412267844501,240,1442,1823,1,-1,fragmented_switch,fragmented_switch
1442,1.0,64,16,0.2,0.09,0.45,120,9,0.966568618113427,0.9236428891601173,0.9695652173913043,0.030434782608695653,0.006827689651376232,0.006827689651376232,1.293293606907386,-0.06361331701713638,-1.4155947808812035,0.125,0.875,0.977768384915761,0.4059172112027594,0.32223161508423903,0.04204619522846305,-1.1699880368477629,0.125,0.875,0.47600648031431964,0.9211522565042706,0.8239935196856804,240,1442,1823,1,-1,fragmented_switch,fragmented_switch
1442,1.0,64,16,0.2,0.09,0.45,120,10,0.96649628704344,0.9232888333415328,0.9695652173913043,0.030434782608695653,0.006856956039305423,0.006856956039305423,1.2933451953739035,-0.06332778364672681,-1.415453734078992,0.125,0.875,0.9780762139478713,0.4059322775126402,0.32192378605212874,0.04209641763046023,-1.1700248713389951,0.125,0.875,0.4759582892104901,0.9211651992750866,0.82404171078951,240,1442,1823,1,-1,fragmented_switch,fragmented_switch
1442,1.0,64,16,0.2,0.09,0.45,120,11,0.9665471724562354,0.923763848406442,0.9695652173913043,0.030434782608695653,0.006893964780252811,0.006893964780252811,1.2932298255139807,-0.06335541575533449,-1.4152386493318427,0.125,0.875,0.9780133241370139,0.4059219951488815,0.3219866758629861,0.04198751081088342,-1.1700581199660913,0.125,0.875,0.4759817473302787,0.9210816291584168,0.8240182526697215,240,1442,1823,1,-1,fragmented_switch,fragmented_switch
1442,1.0,64,16,0.2,0.09,0.45,120,12,0.9664529225880959,0.9232656248570454,0.9695652173913043,0.030434782608695653,0.006814495717167463,0.006814495717167463,1.2933099538881296,-0.06349905885827717,-1.4154619349644397,0.125,0.875,0.9778528197071568,0.4058612224572258,0.3221471802928434,0.042088918844383004,-1.1699443900067363,0.125,0.875,0.4758899514550457,0.9211499812485654,0.8241100485449542,240,1442,1823,1,-1,fragmented_switch,fragmented_switch
