t,m,b,sector,coherence,fragmentation,matched_decoder,wrong_decoder,lag_decoder,matched_error,wrong_error,lag_error
637.0,0.9996820982430106,0.9994082897132339,1.0,1.0,0.0,0.9997929013996318,-0.3002070986003682,0.9997929013996318,0.00011080315662126416,1.2998891968433788,0.00011080315662126416
638.0,0.9999285189999186,0.9996154064469229,1.0,1.0,0.0,0.999865392256423,-0.30013460774357703,0.999865392256423,6.312674349562286e-05,1.3000631267434957,6.312674349562286e-05
639.0,1.0000381826300806,0.9997146499636893,1.0,1.0,0.0,0.9999001274872913,-0.30009987251270875,0.9999001274872913,0.0001380551427893062,1.3001380551427895,0.0001380551427893062
640.0,0.9999493551490182,0.9994865207549601,1.0,1.0,0.0,0.999820282264236,-0.300179717735764,0.999820282264236,0.0001290728847821443,1.3001290728847823,0.0001290728847821443
641.0,0.999870082292719,0.9994203295456574,1.0,1.0,0.0,0.9997971153409801,-0.3002028846590199,0.9997971153409801,7.296695173886203e-05,1.3000729669517388,7.296695173886203e-05
642.0,1.0000692868985022,0.9995591622015272,1.0,1.0,0.0,0.9998457067705345,-0.3001542932294655,0.9998457067705345,0.0002235801279676375,1.3002235801279678,0.0002235801279676375
643.0,1.0000360738561769,0.9991927880933025,1.0,1.0,0.0,0.9997174758326559,-0.30028252416734413,0.9997174758326559,0.0003185980235209662,1.300318598023521,0.0003185980235209662
644.0,1.0001104388909114,0.9994557413184781,1.0,1.0,0.0,0.9998095094614674,-0.30019049053853264,0.9998095094614674,0.0003009294294440412,1.300300929429444,0.0003009294294440412
645.0,1.0001949613530123,0.9996250369310257,1.0,1.0,0.0,0.999868762925859,-0.300131237074141,0.999868762925859,0.0003261984271533125,1.3003261984271535,0.0003261984271533125
646.0,1.0000742803732399,0.9998485249530968,1.0,1.0,0.0,0.9999469837335839,-0.3000530162664161,0.9999469837335839,0.0001272966396559383,1.300127296639656,0.0001272966396559383
647.0,1.0000523078612054,0.9997748015320499,1.0,1.0,0.0,0.9999211805362175,-0.30007881946378256,0.9999211805362175,0.0001311273249878786,1.3001311273249878,0.0001311273249878786
648.0,1.0000649203165415,0.9999364573351435,1.0,1.0,0.0,0.9999777600673002,-0.30002223993269983,0.9999777600673002,8.71602492412693e-05,1.3000871602492414,8.71602492412693e-05
649.0,0.9999465253132769,1.0001013538156869,1.0,1.0,0.0,1.0000354738354904,-0.29996452616450964,1.0000354738354904,8.894852221352778e-05,1.2999110514777865,8.894852221352778e-05
